episode,total_steps,mean_reward_100_eps,mean_eval_final_dist,epsilon
200,60000,243.54526678998684,0.3958495691000248,0.980197693043223
400,120000,95.49950035422397,0.5292644580784666,0.9607875174472562
600,180000,-85.71672737208183,1.045973907251503,0.9417617081065252
800,240000,-15.418149534653505,0.3183198164249739,0.9231126536824614
1000,300000,707.338190437216,0.22250728978443832,0.9048328935585562
1200,360000,-190.77969741456513,1.0288397239640104,0.886915114855721
1400,420000,280.1778898101902,0.7853844482623976,0.8693521495067424
1600,480000,167.5273711565783,0.6858158858355129,0.8521369713886755
1800,540000,-54.001615489605356,0.9931774300732951,0.8352626935120188
2000,600000,973.6122261518401,0.8727094569447393,0.8187225652655491
2200,660000,159.40895545181007,1.1152821805125788,0.8025099697157205
2400,720000,254.35702150979628,1.1668926877416186,0.7866184209595359
2600,780000,-67.6157955039832,1.170933420266672,0.7710415615298397
2800,840000,151.6561173923331,0.38761497169282744,0.7557731598519929
3000,900000,3.8663725621514096,0.38815942818853033,0.74080710775091
3200,960000,-1040.2394180157198,1.0280419811746755,0.7261374180074647
3400,1020000,134.26415566359566,0.5346736708515704,0.7117582219632792
3600,1080000,-1523.333486185777,0.8899895414786737,0.697663767172952
3800,1140000,-173.98890674075665,0.716783401949984,0.6838484151027725
4000,1200000,877.0308240436894,0.3676420251369636,0.6703066388750015
4200,1260000,-661.9130660767609,1.035338384733846,0.657033021056833
4400,1320000,-298.7989849064936,0.43914762618578007,0.6440222514931265
4600,1380000,-1056.7370264158553,1.0799402208277011,0.6312691251820646
4800,1440000,-106.63571174941451,0.6208605507720024,0.6187685401928729
5000,1500000,-648.4758383374814,0.6276021566669298,0.6065154956247766
5200,1560000,-459.9482912784887,0.7475936307127627,0.594505089606372
5400,1620000,268.32203996419406,0.7432721688428138,0.5827325173346204
5600,1680000,-1308.6703571508358,0.5743571200999934,0.5711930691526644
5800,1740000,-3.0609789762474793,0.8674070237666696,0.5598821286657205
6000,1800000,-1382.9763150291951,0.6572920915710699,0.5487951708942683
6200,1860000,434.9039468828362,0.5852022575142306,0.5379277604638235
6400,1920000,79.7674746028118,0.5848716422039119,0.5272755498305473
6600,1980000,-546.3300612963413,1.0038305596319967,0.5168342775419988
6800,2040000,373.0951308249491,0.7260734228687666,0.506599766532328
7000,2100000,-514.1617215227445,0.9287395263986126,0.496567922451223
7200,2160000,1032.633177393776,0.8240593228536918,0.4867347320259549
7400,2220000,-741.7345920646377,0.8901360414445078,0.4770962614558525
7600,2280000,-1177.2202463958267,0.6573277879413736,0.467648654838573
7800,2340000,-1300.9933053649092,0.7265736361406834,0.4583881326275357
8000,2400000,-1366.7562796155426,0.9327936424355626,0.4493109901199013
8200,2460000,-1380.257133712841,0.29325504127424756,0.4404135959744933
8400,2520000,-608.3436196141685,0.673609177643912,0.4316923907590687
8600,2580000,-928.3175332124582,0.484103078753016,0.42314388552635285
8800,2640000,-1466.094544981039,0.9979378333166773,0.41476466041827703
9000,2700000,-1672.168220367561,0.5208049252882468,0.4065513632978508
9200,2760000,-561.5960200434162,0.7981047791586046,0.39850070840813034
9400,2820000,-424.00124368478095,0.5490411610523881,0.3906094750577395
9600,2880000,-1320.7708937670584,0.8757507543811714,0.38287450633242015
9800,2940000,-1086.5180892151764,0.7160614782057048,0.375292707832101
10000,3000000,-1166.462908988811,0.919102752093425,0.3678610464329692
10200,3060000,-538.8080771861306,0.9603163284261762,0.36057654907406234
10400,3120000,-869.3373062059487,0.396136544785525,0.35343630156788247
10600,3180000,-308.25815963148375,1.0152240215185928,0.34643744743456717
10800,3240000,-1115.1559772062074,0.5336816127572982,0.33957718675914567
11000,3300000,-796.0557440084287,0.5725952178348378,0.33285277507142214
11200,3360000,-1688.7371973283975,0.9932916934218401,0.32626152224804283
11400,3420000,-2345.559885842331,0.7588582330293462,0.3198007914363015
11600,3480000,-11.902602412424827,0.5223737532438997,0.31346799799925945
11800,3540000,-1520.5689423054353,0.6474270421193046,0.30726060848175163
12000,3600000,-1490.1241420708573,0.9396627220920045,0.30117613959686973
12200,3660000,-2321.24512440742,0.8999433567860932,0.2952121572325153
12400,3720000,-905.5132322185482,0.6251608790715498,0.28936627547762456
12600,3780000,-630.0161990555367,0.8666960874500947,0.28363615566767725
12800,3840000,-1294.9764090584044,0.5443239007204211,0.27801950544910525
13000,3900000,-1713.362807407585,0.7070879932720545,0.27251407786223053
13200,3960000,-697.1667273681476,0.9817733398683188,0.26711767044235935
